id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
13383,31,services,married,secondary,no,1,yes,no,cellular,9,jul,82,1,-1,0,unknown,0
32642,35,services,married,secondary,no,195,yes,no,cellular,17,apr,203,1,-1,0,unknown,0
3992,24,blue-collar,single,secondary,no,77,yes,no,unknown,16,may,236,2,-1,0,unknown,0
8069,35,blue-collar,married,secondary,no,80,yes,yes,unknown,2,jun,579,2,-1,0,unknown,0
27485,37,services,single,secondary,no,105,no,yes,cellular,21,nov,197,2,157,4,failure,0
10132,38,blue-collar,married,secondary,no,361,yes,no,unknown,11,jun,601,1,-1,0,unknown,0
41319,68,retired,married,tertiary,no,2820,no,no,cellular,28,aug,109,2,-1,0,unknown,0
10625,36,housemaid,married,tertiary,yes,-1941,yes,no,unknown,16,jun,505,1,-1,0,unknown,0
31325,70,retired,married,unknown,no,1236,no,no,cellular,12,mar,58,4,-1,0,unknown,0
8434,38,technician,single,secondary,no,12926,yes,no,unknown,3,jun,280,1,-1,0,unknown,0
13055,28,blue-collar,single,secondary,no,476,no,no,cellular,8,jul,306,1,-1,0,unknown,0
37684,35,admin.,married,secondary,no,3863,yes,no,cellular,14,may,125,1,175,1,failure,0
38996,48,admin.,divorced,secondary,no,-480,no,no,cellular,18,may,380,2,355,1,failure,0
43373,45,technician,married,secondary,no,2981,yes,yes,cellular,29,mar,88,3,311,3,failure,0
23882,56,services,married,unknown,no,628,no,no,cellular,29,aug,96,2,-1,0,unknown,0
10120,51,blue-collar,married,unknown,no,1137,no,no,unknown,11,jun,76,1,-1,0,unknown,0
18983,36,technician,married,secondary,no,594,no,yes,cellular,4,aug,230,3,-1,0,unknown,0
8558,35,services,single,secondary,no,-437,yes,no,unknown,3,jun,43,5,-1,0,unknown,0
34960,35,services,divorced,secondary,no,-33,no,yes,cellular,6,may,109,1,-1,0,unknown,0
8676,28,blue-collar,married,secondary,no,228,yes,no,unknown,3,jun,328,9,-1,0,unknown,0
32071,34,blue-collar,single,secondary,no,47,yes,no,cellular,14,apr,232,1,147,2,failure,0
29064,37,self-employed,single,secondary,no,349,yes,yes,cellular,2,feb,165,1,-1,0,unknown,0
36720,38,blue-collar,single,secondary,no,0,yes,no,cellular,12,may,84,3,-1,0,unknown,0
4500,35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,447,1,-1,0,unknown,0
24639,40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,117,2,117,3,failure,0
1986,30,services,married,secondary,no,152,yes,no,unknown,9,may,115,2,-1,0,unknown,0
36874,39,management,married,tertiary,no,1425,yes,no,cellular,12,may,775,3,-1,0,unknown,1
26956,45,management,divorced,tertiary,no,2096,no,no,cellular,21,nov,127,1,100,2,failure,0
14921,32,admin.,married,secondary,no,198,no,no,cellular,16,jul,132,2,-1,0,unknown,0
19265,35,technician,married,tertiary,no,118,no,no,cellular,6,aug,358,2,-1,0,unknown,0
26648,33,management,married,tertiary,no,3713,yes,no,cellular,20,nov,175,1,-1,0,unknown,0
7431,29,technician,single,secondary,no,404,yes,no,unknown,29,may,286,2,-1,0,unknown,0
13077,32,management,married,tertiary,yes,2,no,no,cellular,8,jul,82,1,-1,0,unknown,0
13290,39,admin.,married,secondary,no,7711,yes,no,cellular,8,jul,289,1,-1,0,unknown,0
32757,38,blue-collar,married,secondary,no,4771,yes,no,cellular,17,apr,217,1,-1,0,unknown,0
45064,75,retired,married,tertiary,no,4912,no,no,telephone,20,oct,238,2,183,5,failure,0
21821,30,technician,married,secondary,no,26,no,no,cellular,20,aug,55,2,-1,0,unknown,0
26632,31,technician,single,tertiary,no,438,yes,no,cellular,20,nov,165,1,100,2,failure,0
12415,41,blue-collar,married,primary,no,509,yes,no,unknown,30,jun,146,3,-1,0,unknown,0
3947,25,admin.,single,secondary,no,304,no,no,unknown,16,may,523,3,-1,0,unknown,0
16655,45,blue-collar,married,primary,no,1670,no,yes,cellular,24,jul,171,1,-1,0,unknown,0
33056,46,services,married,secondary,no,9077,yes,no,cellular,17,apr,427,2,337,1,failure,0
42246,47,management,married,tertiary,no,4693,no,yes,cellular,12,nov,89,1,97,3,success,1
12360,32,admin.,divorced,secondary,no,-241,no,yes,unknown,27,jun,856,2,-1,0,unknown,1
24371,52,management,married,tertiary,no,2578,no,no,cellular,17,nov,412,1,-1,0,unknown,0
1401,47,management,married,primary,no,1222,yes,no,unknown,8,may,28,3,-1,0,unknown,0
27463,32,entrepreneur,married,unknown,no,73,yes,no,cellular,21,nov,158,1,135,1,failure,0
12617,35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105,3,-1,0,unknown,0
19808,33,technician,single,secondary,no,5833,yes,no,cellular,8,aug,93,2,-1,0,unknown,0
22454,33,management,single,secondary,no,-298,no,no,cellular,22,aug,168,2,-1,0,unknown,0
30351,31,self-employed,single,tertiary,no,96,no,no,cellular,5,feb,577,1,-1,0,unknown,0
7204,43,services,married,secondary,no,-456,yes,no,unknown,29,may,102,4,-1,0,unknown,0
14682,53,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,135,5,-1,0,unknown,0
35688,31,technician,single,secondary,no,106,yes,no,cellular,8,may,94,1,-1,0,unknown,0
15475,43,management,married,primary,no,62,yes,no,cellular,18,jul,96,3,-1,0,unknown,0
